"DRel";"RRel";"ProbeSaliency";"participant";"err"
"DC";"RC";"nonsalient";30;0,2
"DR";"RC";"nonsalient";30;0,1
"DC";"RR";"nonsalient";30;0
"DR";"RR";"nonsalient";30;0,428571428571429
"DC";"RC";"salient";30;0
"DR";"RC";"salient";30;0,4
"DC";"RR";"salient";30;0,142857142857143
"DR";"RR";"salient";30;0
"DC";"RC";"nonsalient";32;0,142857142857143
"DR";"RC";"nonsalient";32;0,125
"DC";"RR";"nonsalient";32;0
"DR";"RR";"nonsalient";32;0
"DC";"RC";"salient";32;0,2
"DR";"RC";"salient";32;0,1
"DC";"RR";"salient";32;0
"DR";"RR";"salient";32;0
"DC";"RC";"nonsalient";33;0
"DR";"RC";"nonsalient";33;0
"DC";"RR";"nonsalient";33;0,333333333333333
"DR";"RR";"nonsalient";33;0,142857142857143
"DC";"RC";"salient";33;0,25
"DR";"RC";"salient";33;0,2
"DC";"RR";"salient";33;0,5
"DR";"RR";"salient";33;0
"DC";"RC";"nonsalient";35;0
"DR";"RC";"nonsalient";35;0
"DC";"RR";"nonsalient";35;0
"DR";"RR";"nonsalient";35;0
"DC";"RC";"salient";35;0
"DR";"RC";"salient";35;0,2
"DC";"RR";"salient";35;0
"DR";"RR";"salient";35;0,142857142857143
"DC";"RC";"nonsalient";37;0,1
"DR";"RC";"nonsalient";37;0
"DC";"RR";"nonsalient";37;0,1
"DR";"RR";"nonsalient";37;0,111111111111111
"DC";"RC";"salient";37;0
"DR";"RC";"salient";37;0,0833333333333333
"DC";"RR";"salient";37;0,5
"DR";"RR";"salient";37;0
"DC";"RC";"nonsalient";39;0
"DR";"RC";"nonsalient";39;0,222222222222222
"DC";"RR";"nonsalient";39;0
"DR";"RR";"nonsalient";39;0,166666666666667
"DC";"RC";"salient";39;0
"DR";"RC";"salient";39;0
"DC";"RR";"salient";39;0,125
"DR";"RR";"salient";39;0,285714285714286
"DC";"RC";"nonsalient";40;0
"DR";"RC";"nonsalient";40;0
"DC";"RR";"nonsalient";40;0,222222222222222
"DR";"RR";"nonsalient";40;0
"DC";"RC";"salient";40;0
"DR";"RC";"salient";40;0
"DC";"RR";"salient";40;0
"DR";"RR";"salient";40;0
"DC";"RC";"nonsalient";41;0,166666666666667
"DR";"RC";"nonsalient";41;0,125
"DC";"RR";"nonsalient";41;0,285714285714286
"DR";"RR";"nonsalient";41;0,2
"DC";"RC";"salient";41;0
"DR";"RC";"salient";41;0,166666666666667
"DC";"RR";"salient";41;0
"DR";"RR";"salient";41;0,166666666666667
"DC";"RC";"nonsalient";42;0
"DR";"RC";"nonsalient";42;0
"DC";"RR";"nonsalient";42;0
"DR";"RR";"nonsalient";42;0
"DC";"RC";"salient";42;0
"DR";"RC";"salient";42;0
"DC";"RR";"salient";42;0
"DR";"RR";"salient";42;0
"DC";"RC";"nonsalient";43;0,444444444444444
"DR";"RC";"nonsalient";43;0,333333333333333
"DC";"RR";"nonsalient";43;0
"DR";"RR";"nonsalient";43;0,166666666666667
"DC";"RC";"salient";43;0,5
"DR";"RC";"salient";43;0,142857142857143
"DC";"RR";"salient";43;0
"DR";"RR";"salient";43;0,25
"DC";"RC";"nonsalient";45;0
"DR";"RC";"nonsalient";45;0
"DC";"RR";"nonsalient";45;0,166666666666667
"DR";"RR";"nonsalient";45;0
"DC";"RC";"salient";45;0
"DR";"RC";"salient";45;0
"DC";"RR";"salient";45;0,142857142857143
"DR";"RR";"salient";45;0
"DC";"RC";"nonsalient";47;0
"DR";"RC";"nonsalient";47;0
"DC";"RR";"nonsalient";47;0
"DR";"RR";"nonsalient";47;0
"DC";"RC";"salient";47;0
"DR";"RC";"salient";47;0
"DC";"RR";"salient";47;0,111111111111111
"DR";"RR";"salient";47;0,166666666666667
"DC";"RC";"nonsalient";48;0
"DR";"RC";"nonsalient";48;0
"DC";"RR";"nonsalient";48;0
"DR";"RR";"nonsalient";48;0
"DC";"RC";"salient";48;0,0909090909090909
"DR";"RC";"salient";48;0
"DC";"RR";"salient";48;0,142857142857143
"DR";"RR";"salient";48;0
"DC";"RC";"nonsalient";50;0,111111111111111
"DR";"RC";"nonsalient";50;0
"DC";"RR";"nonsalient";50;0,333333333333333
"DR";"RR";"nonsalient";50;0
"DC";"RC";"salient";50;0
"DR";"RC";"salient";50;0,25
"DC";"RR";"salient";50;0,1
"DR";"RR";"salient";50;0
"DC";"RC";"nonsalient";51;0,181818181818182
"DR";"RC";"nonsalient";51;0
"DC";"RR";"nonsalient";51;0
"DR";"RR";"nonsalient";51;0
"DC";"RC";"salient";51;0
"DR";"RC";"salient";51;0,125
"DC";"RR";"salient";51;0
"DR";"RR";"salient";51;0,166666666666667
"DC";"RC";"nonsalient";52;0
"DR";"RC";"nonsalient";52;0
"DC";"RR";"nonsalient";52;0
"DR";"RR";"nonsalient";52;0,2
"DC";"RC";"salient";52;0
"DR";"RC";"salient";52;0,666666666666667
"DC";"RR";"salient";52;0,75
"DR";"RR";"salient";52;0,1
"DC";"RC";"nonsalient";53;0
"DR";"RC";"nonsalient";53;0
"DC";"RR";"nonsalient";53;0
"DR";"RR";"nonsalient";53;0,125
"DC";"RC";"salient";53;0
"DR";"RC";"salient";53;0
"DC";"RR";"salient";53;0,142857142857143
"DR";"RR";"salient";53;0
"DC";"RC";"nonsalient";54;0
"DR";"RC";"nonsalient";54;0
"DC";"RR";"nonsalient";54;0,125
"DR";"RR";"nonsalient";54;0
"DC";"RC";"salient";54;0
"DR";"RC";"salient";54;0
"DC";"RR";"salient";54;0
"DR";"RR";"salient";54;0
"DC";"RC";"nonsalient";55;0
"DR";"RC";"nonsalient";55;0
"DC";"RR";"nonsalient";55;0
"DR";"RR";"nonsalient";55;0
"DC";"RC";"salient";55;0
"DR";"RC";"salient";55;0,166666666666667
"DC";"RR";"salient";55;0,142857142857143
"DR";"RR";"salient";55;0
"DC";"RC";"nonsalient";56;0
"DR";"RC";"nonsalient";56;0
"DC";"RR";"nonsalient";56;0
"DR";"RR";"nonsalient";56;0,2
"DC";"RC";"salient";56;0,166666666666667
"DR";"RC";"salient";56;0
"DC";"RR";"salient";56;0,142857142857143
"DR";"RR";"salient";56;0
"DC";"RC";"nonsalient";57;0,142857142857143
"DR";"RC";"nonsalient";57;0
"DC";"RR";"nonsalient";57;0
"DR";"RR";"nonsalient";57;0
"DC";"RC";"salient";57;0
"DR";"RC";"salient";57;0,111111111111111
"DC";"RR";"salient";57;0
"DR";"RR";"salient";57;0
"DC";"RC";"nonsalient";58;0
"DR";"RC";"nonsalient";58;0,333333333333333
"DC";"RR";"nonsalient";58;0,285714285714286
"DR";"RR";"nonsalient";58;0
"DC";"RC";"salient";58;0
"DR";"RC";"salient";58;0,5
"DC";"RR";"salient";58;0
"DR";"RR";"salient";58;0,125
"DC";"RC";"nonsalient";59;0,125
"DR";"RC";"nonsalient";59;0
"DC";"RR";"nonsalient";59;0
"DR";"RR";"nonsalient";59;0
"DC";"RC";"salient";59;0
"DR";"RC";"salient";59;0
"DC";"RR";"salient";59;0
"DR";"RR";"salient";59;0
"DC";"RC";"nonsalient";61;0,111111111111111
"DR";"RC";"nonsalient";61;0
"DC";"RR";"nonsalient";61;0
"DR";"RR";"nonsalient";61;0,25
"DC";"RC";"salient";61;0
"DR";"RC";"salient";61;0,125
"DC";"RR";"salient";61;0,166666666666667
"DR";"RR";"salient";61;0
"DC";"RC";"nonsalient";62;0
"DR";"RC";"nonsalient";62;0
"DC";"RR";"nonsalient";62;0
"DR";"RR";"nonsalient";62;0
"DC";"RC";"salient";62;0
"DR";"RC";"salient";62;0
"DC";"RR";"salient";62;0
"DR";"RR";"salient";62;0
"DC";"RC";"nonsalient";66;0
