"DRel";"RRel";"ProbeSaliency";"participant";"RT_io"
"DC";"RR";"nonsalient";26;595,109999999136
"DR";"RR";"nonsalient";26;555,354999999833
"DC";"RC";"salient";26;570,977500000746
"DR";"RC";"salient";26;514,43100000032
"DC";"RR";"salient";26;599,922777778501
"DR";"RR";"salient";26;582,053333331676
"DC";"RC";"nonsalient";28;610,721666665389
"DR";"RC";"nonsalient";28;530,972500000615
"DC";"RR";"nonsalient";28;474,148333332778
"DR";"RR";"nonsalient";28;631,783750000011
"DC";"RC";"salient";28;440,682000001061
"DR";"RC";"salient";28;373,020000000224
"DC";"RR";"salient";28;646,650000000591
"DR";"RR";"salient";28;479,131875000334
"DC";"RC";"nonsalient";29;872,673000011127
"DR";"RC";"nonsalient";29;852,898571407422
"DC";"RR";"nonsalient";29;792,876875013462
"DR";"RR";"nonsalient";29;660,792500013486
"DC";"RC";"salient";29;959,749999989678
"DR";"RC";"salient";29;652,44071430061
"DC";"RR";"salient";29;871,662857152322
"DR";"RR";"salient";29;704,640999995172
"DC";"RC";"nonsalient";30;604,000000000013
"DR";"RC";"nonsalient";30;510,666666666654
"DC";"RR";"nonsalient";30;403,666666666671
"DR";"RR";"nonsalient";30;565,500000000014
"DC";"RC";"salient";30;502,500000000026
"DR";"RC";"salient";30;545,333333333398
"DC";"RR";"salient";30;532,499999999999
"DR";"RR";"salient";30;496,000000000009
"DC";"RC";"nonsalient";32;601,06500000083
"DR";"RC";"nonsalient";32;647,307500000106
"DC";"RR";"nonsalient";32;502,866999999969
"DR";"RR";"nonsalient";32;581,194285713423
"DC";"RC";"salient";32;622,867500000126
"DR";"RC";"salient";32;536,528571428789
"DC";"RR";"salient";32;477,809000000616
"DR";"RR";"salient";32;535,231874999653
"DC";"RC";"nonsalient";33;491,774999999669
"DR";"RC";"nonsalient";33;479,244000001199
"DC";"RR";"nonsalient";33;422,041666665981
"DR";"RR";"nonsalient";33;478,246000000309
"DC";"RC";"salient";33;458,168000000296
"DR";"RC";"salient";33;555,156249999555
"DC";"RR";"salient";33;507,340000000113
"DR";"RR";"salient";33;424,044999997819
"DC";"RC";"nonsalient";35;601,662727275218
"DR";"RC";"nonsalient";35;601,780999999028
"DC";"RR";"nonsalient";35;632,603749996633
"DR";"RR";"nonsalient";35;628,104999999834
"DC";"RC";"salient";35;519,328000003497
"DR";"RC";"salient";35;545,087499995134
"DC";"RR";"salient";35;668,778124998369
"DR";"RR";"salient";35;472,574166667414
"DC";"RC";"nonsalient";37;623,843749999651
"DR";"RC";"nonsalient";37;715,22499997324
"DC";"RR";"nonsalient";37;554,581666662772
"DR";"RR";"nonsalient";37;722,553571420056
"DC";"RC";"salient";37;403,243333295298
"DR";"RC";"salient";37;616,087499994319
"DC";"RR";"salient";37;708,754999912344
"DR";"RR";"salient";37;470,704999985173
"DC";"RC";"nonsalient";39;653,37428571989
"DR";"RC";"nonsalient";39;604,501666670937
"DC";"RR";"nonsalient";39;646,515999996336
"DR";"RR";"nonsalient";39;664,838000008604
"DC";"RC";"salient";39;625,790714286268
"DR";"RC";"salient";39;596,796111116419
"DC";"RR";"salient";39;614,223333327876
"DR";"RR";"salient";39;645,756250007253
"DC";"RC";"nonsalient";40;650,96999998741
"DR";"RC";"nonsalient";40;503,101666661375
"DC";"RR";"nonsalient";40;592,741428566764
"DR";"RR";"nonsalient";40;551,609500002814
"DC";"RC";"salient";40;554,84357143171
"DR";"RC";"salient";40;561,372500000743
"DC";"RR";"salient";40;567,552000004889
"DR";"RR";"salient";40;392,966250001564
"DC";"RC";"nonsalient";41;511,211999994703
"DR";"RC";"nonsalient";41;606,425714284082
"DC";"RR";"nonsalient";41;583,388750004815
"DR";"RR";"nonsalient";41;723,311249996186
"DC";"RC";"salient";41;587,824285720542
"DR";"RC";"salient";41;687,123749994498
"DC";"RR";"salient";41;533,655555556632
"DR";"RR";"salient";41;545,842999999877
"DC";"RC";"nonsalient";42;584,887142850286
"DR";"RC";"nonsalient";42;573,012142849621
"DC";"RR";"nonsalient";42;637,286666664295
"DR";"RR";"nonsalient";42;656,148999987636
"DC";"RC";"salient";42;628,213333328151
"DR";"RC";"salient";42;597,197000001324
"DC";"RR";"salient";42;645,506249995378
"DR";"RR";"salient";42;569,364999983615
"DC";"RC";"nonsalient";43;494,59999999998
"DR";"RC";"nonsalient";43;300,999999999988
"DC";"RR";"nonsalient";43;403,199999999998
"DR";"RR";"nonsalient";43;385,200000000009
"DC";"RC";"salient";43;353,333333333334
"DR";"RC";"salient";43;430,16666666666
"DC";"RR";"salient";43;345,500000000015
"DR";"RR";"salient";43;396,833333333348
