"ResponseType";"RT_io";"CorrectAnswer";"Distance";"Distance_type";"Condition";"ACC_trials";"Validity";"Saliency";"SalD";"NSalD";"Target";"RT_Trials";"participant";"val";"sal"
"RR";540,280000015628;"e";2;1;"learn";1;"valid";"V";"V";"L";7;540,280000015628;56;1;NA
"RC";411,294999998063;"u";1;1;"test";1;"invalid";"Salient";"V";NA;4;411,294999998063;56;-1;1
"RR";523,190000036266;"u";3;2;"learn";1;"valid";"G";"G";"X";2;523,190000036266;56;1;NA
"RR";1093,38500001468;"u";1;1;"learn";1;"valid";"Salient";"G";"X";6;1093,38500001468;56;1;1
"RC";489,600000029895;"e";3;2;"learn";1;"valid";"V";"V";"L";9;489,600000029895;56;1;NA
"RR";679,739999992307;"e";1;1;"learn";1;"valid";"V";"V";"L";3;679,739999992307;56;1;NA
"RR";NA;"e";1;1;"learn";0;"valid";"V";"V";"L";5;NA;56;1;NA
"RR";589,630000002217;"e";2;1;"test";1;"valid";"NonSalient";NA;"L";3;589,630000002217;56;1;-1
"RC";509,239999984857;"u";1;2;"learn";1;"invalid";"V";"V";"L";2;509,239999984857;56;-1;NA
"RC";774,449999968056;"e";1;1;"learn";1;"valid";"Salient";"V";"L";7;774,449999968056;56;1;1
"RR";574,780000024475;"u";7;1;"learn";1;"valid";"G";"G";"X";4;574,780000024475;56;1;NA
"RR";523,560000001453;"u";1;1;"learn";1;"valid";"G";"G";"X";6;523,560000001453;56;1;NA
"RR";NA;"e";3;1;"learn";0;"valid";"V";"V";"L";5;NA;56;1;NA
"RC";746,11000000732;"e";2;1;"test";1;"invalid";"NonSalient";NA;"X";7;746,11000000732;56;-1;-1
"RR";546,934999991208;"e";5;1;"test";1;"valid";"NonSalient";NA;"L";5;546,934999991208;56;1;-1
"RC";827,090000035241;"u";2;2;"learn";1;"valid";"NonSalient";"G";"X";8;827,090000035241;56;1;-1
"RR";725,370000000112;"u";1;1;"learn";1;"valid";"G";"G";"X";2;725,370000000112;56;1;NA
"RR";907,550000003539;"u";1;1;"test";1;"valid";"Salient";"G";NA;6;907,550000003539;56;1;1
"RR";527,004999981727;"u";1;2;"test";1;"valid";"Salient";"G";NA;4;527,004999981727;56;1;1
"RR";605,580000032205;"u";1;2;"learn";1;"valid";"G";"G";"X";6;605,580000032205;56;1;NA
"RC";519,76499997545;"u";6;2;"test";1;"invalid";"NonSalient";NA;"L";4;519,76499997545;56;-1;-1
"RC";639,930000004824;"e";1;2;"learn";1;"valid";"V";"V";"L";7;639,930000004824;56;1;NA
"RR";597,429999965243;"u";3;1;"learn";1;"valid";"G";"G";"X";2;597,429999965243;56;1;NA
"RR";NA;"e";2;1;"learn";0;"valid";"V";"V";"L";7;NA;56;1;NA
"RR";970,955000026152;"e";3;1;"learn";1;"valid";"V";"V";"L";3;970,955000026152;56;1;NA
"RC";924,32499997085;"e";3;1;"learn";1;"invalid";"G";"G";"X";9;924,32499997085;56;-1;NA
"RR";541,934999986552;"e";2;1;"learn";1;"valid";"V";"V";"L";7;541,934999986552;56;1;NA
"RR";539,75499997614;"e";2;1;"test";1;"invalid";"Salient";"G";NA;9;539,75499997614;56;-1;1
"RR";527,559999958612;"e";2;1;"learn";1;"valid";"V";"V";"L";7;527,559999958612;56;1;NA
"RR";907,290000002831;"e";1;1;"learn";1;"valid";"Salient";"V";"L";5;907,290000002831;56;1;1
"RR";725,640000018757;"e";3;2;"learn";1;"invalid";"G";"G";"X";3;725,640000018757;56;-1;NA
"RC";557,325000001583;"u";1;1;"learn";1;"valid";"G";"G";"X";2;557,325000001583;56;1;NA
"RR";594,519999984186;"e";3;1;"learn";1;"valid";"V";"V";"L";9;594,519999984186;56;1;NA
"RR";716,629999980796;"u";2;1;"test";1;"valid";"NonSalient";NA;"X";6;716,629999980796;56;1;-1
"RR";488,790000032168;"e";2;1;"learn";1;"valid";"V";"V";"L";9;488,790000032168;56;1;NA
"RC";556,849999993574;"u";1;1;"test";1;"invalid";"NonSalient";NA;"L";4;556,849999993574;56;-1;-1
"RR";858,560000022408;"u";3;2;"learn";1;"valid";"G";"G";"X";8;858,560000022408;56;1;NA
"RC";607,900000002701;"e";2;2;"learn";1;"valid";"V";"V";"L";7;607,900000002701;56;1;NA
"RR";NA;"e";1;1;"learn";0;"valid";"V";"V";"L";3;NA;56;1;NA
"RR";644,565000024159;"u";3;1;"learn";1;"valid";"G";"G";"X";2;644,565000024159;56;1;NA
"RR";674,509999982547;"u";1;1;"learn";1;"valid";"G";"G";"X";8;674,509999982547;56;1;NA
"RR";441,569999966305;"u";1;1;"learn";1;"valid";"G";"G";"X";2;441,569999966305;56;1;NA
"RR";573,430000047665;"e";5;1;"learn";1;"valid";"V";"V";"L";9;573,430000047665;56;1;NA
"RR";1042,53500001505;"e";1;1;"learn";1;"valid";"V";"V";"L";7;1042,53500001505;56;1;NA
"RR";672,069999971427;"e";1;1;"learn";1;"valid";"V";"V";"L";3;672,069999971427;56;1;NA
"RR";610,495000029914;"u";4;1;"learn";1;"valid";"G";"G";"X";4;610,495000029914;56;1;NA
"RC";556,805000000168;"e";1;1;"learn";1;"invalid";"G";"G";"X";9;556,805000000168;56;-1;NA
"RC";1099,53000000678;"u";3;1;"learn";1;"invalid";"V";"V";"L";4;1099,53000000678;56;-1;NA
"RC";523,330000054557;"e";1;1;"learn";1;"valid";"V";"V";"L";9;523,330000054557;56;1;NA
"RC";NA;"u";3;1;"learn";1;"valid";"Salient";"G";"X";6;1425,29500002274;56;1;1
"RR";NA;"e";2;1;"learn";0;"valid";"V";"V";"L";5;NA;56;1;NA
"RR";892,189999984112;"e";3;1;"test";1;"valid";"NonSalient";NA;"L";9;892,189999984112;56;1;-1
"RR";472,565000003669;"u";3;1;"learn";1;"valid";"G";"G";"X";2;472,565000003669;56;1;NA
"RR";675,359999993816;"u";1;1;"learn";1;"valid";"G";"G";"X";6;675,359999993816;56;1;NA
"RR";740,684999967925;"e";3;2;"learn";1;"valid";"NonSalient";"V";"L";3;740,684999967925;56;1;-1
"RR";NA;"e";1;1;"learn";1;"valid";"V";"V";"L";5;1362,22499998985;56;1;NA
"RR";989,890000026207;"e";1;1;"learn";1;"valid";"V";"V";"L";7;989,890000026207;56;1;NA
"RR";NA;"u";4;1;"learn";0;"valid";"G";"G";"X";8;NA;56;1;NA
"RR";706,630000029691;"e";2;1;"learn";1;"valid";"V";"V";"L";5;706,630000029691;56;1;NA
"RR";657,520000007935;"u";6;1;"learn";1;"valid";"G";"G";"X";8;657,520000007935;56;1;NA
"RR";527,230000006966;"u";1;1;"learn";1;"valid";"G";"G";"X";2;527,230000006966;56;1;NA
"RR";838,745000015479;"u";1;1;"test";1;"valid";"NonSalient";NA;"X";6;838,745000015479;56;1;-1
"RC";662,290000007488;"u";4;1;"learn";1;"invalid";"V";"V";"L";4;662,290000007488;56;-1;NA
"RC";607,019999995828;"e";3;1;"test";1;"invalid";"Salient";"G";NA;5;607,019999995828;56;-1;1
"RC";661,985000013374;"e";2;1;"learn";1;"valid";"V";"V";"L";3;661,985000013374;56;1;NA
"RR";989,889999968;"e";2;2;"test";1;"invalid";"Salient";"G";NA;5;989,889999968;56;-1;1
"RC";755,825000000186;"u";1;2;"learn";1;"valid";"G";"G";"X";4;755,825000000186;56;1;NA
"RR";555,504999996629;"e";3;1;"learn";1;"valid";"V";"V";"L";5;555,504999996629;56;1;NA
"RC";656,495000002906;"e";2;1;"test";1;"invalid";"Salient";"G";NA;7;656,495000002906;56;-1;1
"RR";658,555000030901;"e";2;1;"learn";1;"valid";"V";"V";"L";5;658,555000030901;56;1;NA
"RR";673,39999997057;"e";1;1;"test";1;"valid";"Salient";"V";NA;3;673,39999997057;56;1;1
"RC";624,279999989085;"e";5;1;"test";1;"invalid";"NonSalient";NA;"X";5;624,279999989085;56;-1;-1
"RC";912,605000019539;"u";1;2;"learn";1;"valid";"NonSalient";"G";"X";4;912,605000019539;56;1;-1
"RC";723,240000021178;"u";3;2;"test";1;"invalid";"Salient";"V";NA;6;723,240000021178;56;-1;1
"RC";589,024999993853;"e";1;2;"learn";1;"valid";"V";"V";"L";5;589,024999993853;56;1;NA
"RR";925,095000013243;"e";1;1;"learn";1;"valid";"V";"V";"L";9;925,095000013243;56;1;NA
"RR";NA;"e";1;1;"learn";1;"valid";"V";"V";"L";3;2026,17500000633;56;1;NA
"RR";1186,91500002751;"e";1;1;"test";1;"valid";"Salient";"V";NA;5;1186,91500002751;56;1;1
"RR";644,879999978002;"u";6;1;"learn";1;"valid";"G";"G";"X";4;644,879999978002;56;1;NA
"RC";524,664999975357;"e";1;1;"test";1;"invalid";"Salient";"G";NA;5;524,664999975357;56;-1;1
"RR";1005,99500001408;"e";3;2;"learn";1;"valid";"Salient";"V";"L";9;1005,99500001408;56;1;1
